epoch,step,train_auc_eval,train_f1_eval,train_loss,train_loss_epoch,train_loss_eval,train_map_eval,weight_norm/fc.0.bias,weight_norm/fc.0.weight,weight_norm/fc.3.bias,weight_norm/fc.3.weight,weight_norm/gru.bias_hh_l0,weight_norm/gru.bias_hh_l1,weight_norm/gru.bias_ih_l0,weight_norm/gru.bias_ih_l1,weight_norm/gru.weight_hh_l0,weight_norm/gru.weight_hh_l1,weight_norm/gru.weight_ih_l0,weight_norm/gru.weight_ih_l1
2,689,,,0.06092410162091255,,,,,,,,,,,,,,,
2,699,,,0.05972493812441826,,,,,,,,,,,,,,,
2,709,,,0.05465433746576309,,,,,,,,,,,,,,,
2,719,,,0.05288638919591904,,,,,,,,,,,,,,,
2,729,,,0.05546482279896736,,,,,,,,,,,,,,,
2,739,,,0.05360465496778488,,,,,,,,,,,,,,,
2,749,,,0.05759517848491669,,,,,,,,,,,,,,,
2,759,,,0.05274921655654907,,,,,,,,,,,,,,,
2,769,,,0.052434470504522324,,,,,,,,,,,,,,,
2,779,,,0.05650325119495392,,,,,,,,,,,,,,,
2,789,,,0.05399567633867264,,,,,,,,,,,,,,,
2,799,,,0.055256348103284836,,,,,,,,,,,,,,,
2,809,,,0.05345229431986809,,,,,,,,,,,,,,,
2,819,,,0.055303171277046204,,,,,,,,,,,,,,,
2,829,,,0.05896492302417755,,,,,,,,,,,,,,,
2,839,,,0.05590008571743965,,,,,,,,,,,,,,,
2,848,,,,0.05546122044324875,,,,,,,,,,,,,,
3,849,,,0.057169701904058456,,,,,,,,,,,,,,,
3,859,,,0.05168604105710983,,,,,,,,,,,,,,,
3,869,,,0.05209417641162872,,,,,,,,,,,,,,,
3,879,,,0.05349869281053543,,,,,,,,,,,,,,,
3,889,,,0.055849138647317886,,,,,,,,,,,,,,,
3,899,,,0.05221669748425484,,,,,,,,,,,,,,,
3,909,,,0.05511174350976944,,,,,,,,,,,,,,,
3,919,,,0.052190184593200684,,,,,,,,,,,,,,,
3,929,,,0.060245174914598465,,,,,,,,,,,,,,,
3,939,,,0.056048307567834854,,,,,,,,,,,,,,,
3,949,,,0.05499821528792381,,,,,,,,,,,,,,,
3,959,,,0.055875811725854874,,,,,,,,,,,,,,,
3,969,,,0.05337052419781685,,,,,,,,,,,,,,,
3,979,,,0.05577788129448891,,,,,,,,,,,,,,,
3,989,,,0.05669030547142029,,,,,,,,,,,,,,,
3,999,,,0.053930480033159256,,,,,,,,,,,,,,,
3,1009,,,0.05716481804847717,,,,,,,,,,,,,,,
3,1019,,,0.050205621868371964,,,,,,,,,,,,,,,
3,1029,,,0.057212669402360916,,,,,,,,,,,,,,,
3,1039,,,0.049568723887205124,,,,,,,,,,,,,,,
3,1049,,,0.047182269394397736,,,,,,,,,,,,,,,
3,1059,,,0.05378802493214607,,,,,,,,,,,,,,,
3,1069,,,0.05457689240574837,,,,,,,,,,,,,,,
3,1079,,,0.05258896201848984,,,,,,,,,,,,,,,
3,1089,,,0.053914111107587814,,,,,,,,,,,,,,,
3,1099,,,0.04965745285153389,,,,,,,,,,,,,,,
3,1109,,,0.05424576997756958,,,,,,,,,,,,,,,
3,1119,,,0.055514171719551086,,,,,,,,,,,,,,,
3,1129,,,0.04771558195352554,,,,,,,,,,,,,,,
3,1131,,,,0.053980931639671326,,,,,,,,,,,,,,
4,1139,,,0.05539907142519951,,,,,,,,,,,,,,,
4,1149,,,0.05260773003101349,,,,,,,,,,,,,,,
4,1159,,,0.045530807226896286,,,,,,,,,,,,,,,
4,1169,,,0.05578755959868431,,,,,,,,,,,,,,,
4,1179,,,0.05280715227127075,,,,,,,,,,,,,,,
4,1189,,,0.050813138484954834,,,,,,,,,,,,,,,
4,1199,,,0.05474983900785446,,,,,,,,,,,,,,,
4,1209,,,0.05369047075510025,,,,,,,,,,,,,,,
4,1219,,,0.05780463665723801,,,,,,,,,,,,,,,
4,1229,,,0.05746901035308838,,,,,,,,,,,,,,,
4,1239,,,0.04853923246264458,,,,,,,,,,,,,,,
4,1249,,,0.05650137737393379,,,,,,,,,,,,,,,
4,1259,,,0.05096517503261566,,,,,,,,,,,,,,,
4,1269,,,0.056188151240348816,,,,,,,,,,,,,,,
4,1279,,,0.04882056266069412,,,,,,,,,,,,,,,
4,1289,,,0.053618572652339935,,,,,,,,,,,,,,,
4,1299,,,0.05292413756251335,,,,,,,,,,,,,,,
4,1309,,,0.055637579411268234,,,,,,,,,,,,,,,
4,1319,,,0.05264945700764656,,,,,,,,,,,,,,,
4,1329,,,0.05839531123638153,,,,,,,,,,,,,,,
4,1339,,,0.0572623647749424,,,,,,,,,,,,,,,
4,1349,,,0.05183275043964386,,,,,,,,,,,,,,,
4,1359,,,0.051201023161411285,,,,,,,,,,,,,,,
4,1369,,,0.049532607197761536,,,,,,,,,,,,,,,
4,1379,,,0.0532158799469471,,,,,,,,,,,,,,,
4,1389,,,0.04924639314413071,,,,,,,,,,,,,,,
4,1399,,,0.05176274850964546,,,,,,,,,,,,,,,
4,1409,,,0.053988926112651825,,,,,,,,,,,,,,,
4,1414,,,,0.053505830466747284,,,,,,,,,,,,,,
5,1419,,,0.06164337694644928,,,,,,,,,,,,,,,
5,1429,,,0.053202029317617416,,,,,,,,,,,,,,,
5,1439,,,0.0562577024102211,,,,,,,,,,,,,,,
5,1449,,,0.05359776318073273,,,,,,,,,,,,,,,
5,1459,,,0.05151839554309845,,,,,,,,,,,,,,,
